"","log2FoldChange"
"102595008",1.034734573
"102599388",7.067590639
"107061004",5.993709476
"102594889",1.673851685
"102583489",1.143563714
"102588850",1.504244493
"102582960",1.590513202
"102585477",1.260995567
"102596494",7.676417178
"102584788",2.84950844
"102583141",-2.362754484
"102589278",10.56042857
"102586284",-2.036827012
"102602828",1.201784435
"102583601",1.455855583
"107061923",-1.388627541
"102588304",-2.084190447
"102597796",-1.697325236
"102592181",1.182410784
"107059497",1.174981032
"102602780",-1.121372024
"102590366",2.040793664
"102590526",1.148110669
"102588581",2.425938926
"102594885",-1.41774801
"102602499",-1.26675112
"102592578",1.52407919
"107061243",-2.971074559
"102582408",-1.364514419
"102593752",2.804569879
"102584518",-1.24840698
"102588145",2.033057249
"102590556",1.57432389
"102603244",1.918591028
"102604582",6.043672579
"102595504",-1.140048487
"102593379",1.817740976
"102586257",6.266653817
"102585176",2.716417462
"102579819",-1.194413113
"102580139",-1.279579478
"102589498",2.716429397
"107059682",1.795220999
"102598238",-1.268039661
"102604810",-1.183528716
"102590159",4.764234081
"102600547",1.320128146
"102589148",3.522580547
"102595797",1.000999597
"102577592",-1.679002379
"102593917",5.818616002
"102594249",10.63938431
"102594910",7.84008961
"107061746",6.600263004
"102593157",6.012822049
"102591189",1.706451233
"102595400",8.00231285
"102598689",5.860304785
"102603685",4.679032489
"102585343",1.712848104
"102580568",-1.779338293
"102593110",3.00405562
"102605677",5.632696155
"102605676",2.591592437
"102583270",1.314474363
"102602186",1.441503103
"102590956",2.044527111
"102597043",-1.106768067
"102582058",5.859669968
"102582379",1.184197594
"102583065",-2.530467467
"102593637",1.483445285
"102593314",2.161281615
"102603796",-1.184789832
"102585770",1.445727835
"102585105",4.908055665
"102578640",1.51478197
"102584988",1.397759342
"102588858",-1.025116741
"102585901",7.067333803
"102601280",-1.083977802
"102592247",1.05764053
"102600937",-1.504528811
"102591415",1.374082316
"102580667",2.601657047
"107057841",1.593739993
"102605148",-1.494086344
"102583101",1.873914126
